time,pump_id,pumps_on,flow_m3h,wet_well_level_m
2026-06-01 00:00:00,PS01,1,1163.5,1.12
2026-06-01 00:05:00,PS01,1,1106.7,1.11
2026-06-01 00:10:00,PS01,1,1062.5,1.15
2026-06-01 00:15:00,PS01,1,1139.4,1.16
2026-06-01 00:20:00,PS01,1,1023.4,1.12
2026-06-01 00:25:00,PS01,1,1167.0,1.13
2026-06-01 00:30:00,PS01,1,1180.6,1.12
2026-06-01 00:35:00,PS01,1,1118.6,1.09
2026-06-01 00:40:00,PS01,1,1064.6,1.17
2026-06-01 00:45:00,PS01,1,1051.4,1.15
2026-06-01 00:50:00,PS01,1,1149.9,1.21
2026-06-01 00:55:00,PS01,1,1058.6,1.1
2026-06-01 01:00:00,PS01,1,1112.0,1.08
2026-06-01 01:05:00,PS01,1,1175.3,1.0
2026-06-01 01:10:00,PS01,1,1157.5,1.22
2026-06-01 01:15:00,PS01,1,1022.6,1.14
2026-06-01 01:20:00,PS01,0,0.0,1.15
2026-06-01 01:25:00,PS01,1,1022.2,1.19
2026-06-01 01:30:00,PS01,1,1078.3,1.12
2026-06-01 01:35:00,PS01,1,1087.4,1.07
2026-06-01 01:40:00,PS01,1,1105.0,1.15
2026-06-01 01:45:00,PS01,1,1137.9,1.09
2026-06-01 01:50:00,PS01,1,1198.4,1.01
2026-06-01 01:55:00,PS01,1,1051.9,1.18
2026-06-01 02:00:00,PS01,1,1140.8,1.05
2026-06-01 02:05:00,PS01,0,0.0,1.06
2026-06-01 02:10:00,PS01,1,1079.8,1.14
2026-06-01 02:15:00,PS01,1,1166.5,0.99
2026-06-01 02:20:00,PS01,1,1032.9,1.09
2026-06-01 02:25:00,PS01,1,1023.6,1.11
2026-06-01 02:30:00,PS01,0,0.0,1.15
2026-06-01 02:35:00,PS01,1,1099.1,1.12
2026-06-01 02:40:00,PS01,1,1094.1,1.12
2026-06-01 02:45:00,PS01,0,0.0,1.14
2026-06-01 02:50:00,PS01,1,1152.3,1.16
2026-06-01 02:55:00,PS01,1,1135.7,1.06
2026-06-01 03:00:00,PS01,1,1152.9,1.03
2026-06-01 03:05:00,PS01,0,0.0,1.04
2026-06-01 03:10:00,PS01,1,1099.5,1.12
2026-06-01 03:15:00,PS01,1,1043.6,1.07
2026-06-01 03:20:00,PS01,1,1197.4,1.05
2026-06-01 03:25:00,PS01,1,1138.2,1.14
2026-06-01 03:30:00,PS01,1,1061.4,1.11
2026-06-01 03:35:00,PS01,1,1143.7,1.17
2026-06-01 03:40:00,PS01,1,1116.8,1.1
2026-06-01 03:45:00,PS01,1,1092.7,1.11
2026-06-01 03:50:00,PS01,1,1130.7,1.06
2026-06-01 03:55:00,PS01,1,1060.1,0.98
2026-06-01 04:00:00,PS01,1,1194.9,1.06
2026-06-01 04:05:00,PS01,1,1098.8,1.05
2026-06-01 04:10:00,PS01,1,1122.9,1.02
2026-06-01 04:15:00,PS01,1,1038.5,1.1
2026-06-01 04:20:00,PS01,1,1178.3,1.14
2026-06-01 04:25:00,PS01,0,0.0,1.07
2026-06-01 04:30:00,PS01,1,1037.9,1.12
2026-06-01 04:35:00,PS01,1,1097.0,1.07
2026-06-01 04:40:00,PS01,1,1066.9,1.09
2026-06-01 04:45:00,PS01,1,1107.1,1.06
2026-06-01 04:50:00,PS01,1,1094.9,1.12
2026-06-01 04:55:00,PS01,1,1159.8,1.13
2026-06-01 05:00:00,PS01,1,1122.2,1.19
2026-06-01 05:05:00,PS01,1,1099.4,1.08
2026-06-01 05:10:00,PS01,1,1051.3,1.09
2026-06-01 05:15:00,PS01,1,1190.2,1.16
2026-06-01 05:20:00,PS01,1,1074.6,1.09
2026-06-01 05:25:00,PS01,1,1031.2,1.14
2026-06-01 05:30:00,PS01,0,0.0,1.09
2026-06-01 05:35:00,PS01,1,1053.0,1.14
2026-06-01 05:40:00,PS01,1,1086.1,1.14
2026-06-01 05:45:00,PS01,0,0.0,1.19
2026-06-01 05:50:00,PS01,1,1088.1,1.09
2026-06-01 05:55:00,PS01,1,1102.5,1.16
2026-06-01 06:00:00,PS01,1,1163.1,1.12
2026-06-01 06:05:00,PS01,1,1111.6,1.04
2026-06-01 06:10:00,PS01,1,1150.5,1.11
2026-06-01 06:15:00,PS01,1,1106.9,1.1
2026-06-01 06:20:00,PS01,1,1082.1,1.16
2026-06-01 06:25:00,PS01,1,1110.6,1.09
2026-06-01 06:30:00,PS01,1,1196.1,1.14
2026-06-01 06:35:00,PS01,1,1039.4,1.14
2026-06-01 06:40:00,PS01,1,1179.5,1.18
2026-06-01 06:45:00,PS01,1,1132.6,1.12
2026-06-01 06:50:00,PS01,1,1194.3,1.07
2026-06-01 06:55:00,PS01,1,1065.0,1.19
2026-06-01 07:00:00,PS01,1,1088.7,1.12
2026-06-01 07:05:00,PS01,1,1039.7,1.2
2026-06-01 07:10:00,PS01,1,1029.4,1.15
2026-06-01 07:15:00,PS01,1,1103.6,1.16
2026-06-01 07:20:00,PS01,1,1036.1,1.19
2026-06-01 07:25:00,PS01,1,1128.5,1.19
2026-06-01 07:30:00,PS01,1,1121.5,1.16
2026-06-01 07:35:00,PS01,1,1190.2,1.14
2026-06-01 07:40:00,PS01,1,1184.1,1.16
2026-06-01 07:45:00,PS01,1,1073.1,1.07
2026-06-01 07:50:00,PS01,1,1186.4,1.21
2026-06-01 07:55:00,PS01,1,1029.8,1.13
2026-06-01 08:00:00,PS01,1,1151.9,1.14
2026-06-01 08:05:00,PS01,1,1124.5,1.15
2026-06-01 08:10:00,PS01,1,1083.9,1.18
2026-06-01 08:15:00,PS01,0,0.0,1.17
2026-06-01 08:20:00,PS01,1,1083.6,1.2
2026-06-01 08:25:00,PS01,1,1115.5,1.2
2026-06-01 08:30:00,PS01,1,1143.4,1.14
2026-06-01 08:35:00,PS01,1,1068.2,1.13
2026-06-01 08:40:00,PS01,1,1041.0,1.16
2026-06-01 08:45:00,PS01,1,1145.1,1.21
2026-06-01 08:50:00,PS01,1,1053.4,1.2
2026-06-01 08:55:00,PS01,1,1058.2,1.19
2026-06-01 09:00:00,PS01,1,1056.0,1.16
2026-06-01 09:05:00,PS01,1,1154.5,1.22
2026-06-01 09:10:00,PS01,1,1076.6,1.19
2026-06-01 09:15:00,PS01,1,1153.3,1.14
2026-06-01 09:20:00,PS01,1,1122.1,1.16
2026-06-01 09:25:00,PS01,1,1111.3,1.22
2026-06-01 09:30:00,PS01,1,1182.7,1.24
2026-06-01 09:35:00,PS01,1,1124.0,1.09
2026-06-01 09:40:00,PS01,1,1062.6,1.19
2026-06-01 09:45:00,PS01,1,1197.0,1.09
